Date,Open,High,Low,Close,Volume,Adj Close,CloseNext,DailyReturn
2016-02-17,96.669998,98.209999,96.150002,98.120003,44863200,97.52622,96.260002,-1.860001
2016-02-16,95.019997,96.849998,94.610001,96.639999,49057900,96.055173,98.120003,1.480004
2016-02-12,94.190002,94.5,93.010002,93.989998,40351400,93.421208,96.639999,2.650001
2016-02-11,93.790001,94.720001,92.589996,93.699997,50074700,93.132962,93.989998,0.290001
2016-02-10,95.919998,96.349998,94.099998,94.269997,42343600,93.699512,93.699997,-0.57
2016-02-09,94.290001,95.940002,93.93,94.989998,44331200,94.415156,94.269997,-0.720001
2016-02-08,93.129997,95.699997,93.040001,95.010002,54021400,94.43504,94.989998,-0.020004
2016-02-05,96.519997,96.919998,93.690002,94.019997,46418100,93.451025,95.010002,0.990005
2016-02-04,95.860001,97.330002,95.190002,96.599998,46471700,96.015414,94.019997,-2.580001
2016-02-03,95,96.839996,94.080002,96.349998,45964300,95.250077,96.599998,0.25
2016-02-02,95.419998,96.040001,94.279999,94.480003,37357200,93.401429,96.349998,1.869995
2016-02-01,96.470001,96.709999,95.400002,96.43,40943500,95.329165,94.480003,-1.949997
2016-01-29,94.790001,97.339996,94.349998,97.339996,64416500,96.228773,96.43,-0.909996
2016-01-28,93.790001,94.519997,92.389999,94.089996,55678800,93.015874,97.339996,3.25
2016-01-27,96.040001,96.629997,93.339996,93.419998,133369700,92.353525,94.089996,0.669998
2016-01-26,99.93,100.879997,98.07,99.989998,75077000,98.848522,93.419998,-6.57
2016-01-25,101.519997,101.529999,99.209999,99.440002,51794500,98.304805,99.989998,0.549996
2016-01-22,98.629997,101.459999,98.370003,101.419998,65800500,100.262198,99.440002,-1.979996
2016-01-21,97.059998,97.879997,94.940002,96.300003,52161500,95.200652,101.419998,5.119995
2016-01-20,95.099998,98.190002,93.419998,96.790001,72334400,95.685056,96.300003,-0.489998
2016-01-19,98.410004,98.650002,95.5,96.660004,53087700,95.556543,96.790001,0.129997
2016-01-15,96.199997,97.709999,95.360001,97.129997,79833900,96.021171,96.660004,-0.469993
2016-01-14,97.959999,100.480003,95.739998,99.519997,63170100,98.383886,97.129997,-2.39
2016-01-13,100.32,101.190002,97.300003,97.389999,62439600,96.278205,99.519997,2.129998
2016-01-12,100.550003,100.690002,98.839996,99.959999,49154200,98.818866,97.389999,-2.57
2016-01-11,98.970001,99.059998,97.339996,98.529999,49739400,97.40519,99.959999,1.43
2016-01-08,98.550003,99.110001,96.760002,96.959999,70798000,95.853114,98.529999,1.57
2016-01-07,98.68,100.129997,96.43,96.449997,81094400,95.348934,96.959999,0.510002
2016-01-06,100.559998,102.370003,99.870003,100.699997,68457400,99.550416,96.449997,-4.25
2016-01-05,105.75,105.849998,102.410004,102.709999,55791000,101.537472,100.699997,-2.010002
2016-01-04,102.610001,105.370003,102,105.349998,67649400,104.147334,102.709999,-2.639999
2015-12-31,107.010002,107.029999,104.82,105.260002,40912300,104.058365,105.349998,0.089996
2015-12-30,108.580002,108.699997,107.18,107.32,25213800,106.094845,105.260002,-2.059998
2015-12-29,106.959999,109.43,106.860001,108.739998,30931200,107.498633,107.32,-1.419998
2015-12-28,107.589996,107.690002,106.18,106.82,26704200,105.600553,108.739998,1.919998
2015-12-24,109,109,107.949997,108.029999,13596700,106.796739,106.82,-1.209999
2015-12-23,107.269997,108.849998,107.199997,108.610001,32657400,107.37012,108.029999,-0.580002
2015-12-22,107.400002,107.720001,106.449997,107.230003,32789400,106.005876,108.610001,1.379998
2015-12-21,107.279999,107.370003,105.57,107.330002,47590600,106.104733,107.230003,-0.099999
2015-12-18,108.910004,109.519997,105.809998,106.029999,96453300,104.819571,107.330002,1.300003
2015-12-17,112.019997,112.25,108.980003,108.980003,44772800,107.735899,106.029999,-2.950004
2015-12-16,111.07,111.989998,108.800003,111.339996,56238500,110.06895,108.980003,-2.359993
2015-12-15,111.940002,112.800003,110.349998,110.489998,52978100,109.228655,111.339996,0.849998
2015-12-14,112.18,112.68,109.790001,112.480003,64318700,111.195943,110.489998,-1.990005
2015-12-11,115.190002,115.389999,112.849998,113.18,46886200,111.887949,112.480003,-0.699997
2015-12-10,116.040001,116.940002,115.510002,116.169998,29212700,114.843813,113.18,-2.989998
2015-12-09,117.639999,117.690002,115.080002,115.620003,46361400,114.300096,116.169998,0.549995
2015-12-08,117.519997,118.599998,116.860001,118.230003,34309500,116.880302,115.620003,-2.61
2015-12-07,118.980003,119.860001,117.809998,118.279999,32084200,116.929726,118.230003,-0.049996
2015-12-04,115.290001,119.25,115.110001,119.029999,57777000,117.671164,118.279999,-0.75
2015-12-03,116.550003,116.790001,114.220001,115.199997,41569500,113.884885,119.029999,3.830002
2015-12-02,117.339996,118.110001,116.080002,116.279999,33386600,114.952558,115.199997,-1.080002
2015-12-01,118.75,118.809998,116.860001,117.339996,34852400,116.000455,116.279999,-1.059997
2015-11-30,117.989998,119.410004,117.75,118.300003,39180300,116.949502,117.339996,-0.960007
2015-11-27,118.290001,118.410004,117.599998,117.809998,13046400,116.465091,118.300003,0.490005
2015-11-25,119.209999,119.230003,117.919998,118.029999,21388300,116.68258,117.809998,-0.220001
2015-11-24,117.330002,119.349998,117.120003,118.879997,42803200,117.522875,118.029999,-0.849998
2015-11-23,119.269997,119.730003,117.339996,117.75,32482500,116.405778,118.879997,1.129997
2015-11-20,119.199997,119.919998,118.849998,119.300003,34287100,117.938086,117.75,-1.550003
2015-11-19,117.639999,119.75,116.760002,118.779999,43295800,117.424018,119.300003,0.520004
2015-11-18,115.760002,117.489998,115.5,117.290001,46674700,115.95103,118.779999,1.489998
2015-11-17,114.919998,115.050003,113.32,113.690002,27616900,112.392129,117.290001,3.599999
2015-11-16,111.379997,114.239998,111,114.18,38106700,112.876533,113.690002,-0.489998
2015-11-13,115.199997,115.57,112.269997,112.339996,45812400,111.057534,114.18,1.840004
